file,offset,token,prev_small_u32
MAZE03.ato,104,SLASH008,0 0 25 4 0 24 32 0
MAZE03.ato,132,LOCATE,0 0 0 0 0 0
MAZE03.ato,241,LOCATE,0 0 0 0 0 25 4 0
MAZE03.ato,350,LOCATE,0 0 0 0 0 25 4 0
MAZE03.ato,471,VOCAL13,0 0 25 4 0 24 32 0
MAZE03.ato,499,LOCATE,0 0 0 0 0 0
MAZE03.ato,537,KtD,0 0 0 0
MAZE03.ato,589,KtD,0
MAZE03.ato,636,CAMERA,0 0 0 0 0 0 0
MAZE03.ato,679,IDU,0 0 0 0
MAZE03.ato,715,IDU,
MAZE03.ato,805,SM001008,0 0 0 27 12 0 0 0
MAZE03.ato,847,mOD,0 0 0 0
MAZE03.ato,883,mOD,0
MAZE03.ato,974,SM004006,0 0 0 27 12 0 0 0
MAZE03.ato,1151,wp_05,0 27 12 0 0 0 48 32
MAZE03.ato,1183,SE001043,53 0 0 0 0 0 0
MAZE03.ato,1360,wp_05,0 27 12 0 0 0 48 32
MAZE03.ato,1392,SE001043,53 0 0 0 0 0 0
MAZE03.ato,1453,PxBC,2 0 0 0 0
MAZE03.ato,1489,PxBC,4 22 48 0 0
MAZE03.ato,1569,wp_05,0 27 12 0 0 0 48 32
MAZE03.ato,1601,SE002043,53 0 0 0 0 0 0
MAZE03.ato,1742,CAMERA,0 0 0 0 0 0 0
MAZE03.ato,1911,SM001008,0 0 0 27 12 0 0 0
MAZE03.ato,1990,8Dp,
MAZE03.ato,2080,SM004006,0 0 0 27 12 0 0 0
MAZE03.ato,2126,lPD,0 0
MAZE03.ato,2257,wp_05,0 27 12 0 0 0 48 32
MAZE03.ato,2289,SE001043,53 0 0 0 0 0 0
MAZE03.ato,2466,wp_05,0 27 12 0 0 0 48 32
MAZE03.ato,2498,SE002043,53 0 0 0 0 0 0
MAZE03.ato,2544,2ZD,0 0
MAZE03.ato,2675,wp_05,0 27 12 0 0 0 48 32
MAZE03.ato,2707,SE001043,53 0 0 0 0 0 0
MAZE03.ato,2769,c-C,0 0 0
MAZE03.ato,2805,c-C,0
MAZE03.ato,2876,SM001008,0 0 0 27 12 0 0 0
MAZE03.ato,3045,SM004006,0 0 0 27 12 0 0 0
MAZE03.ato,3222,wp_05,0 27 12 0 0 0 48 32
MAZE03.ato,3254,SE001043,53 0 0 0 0 0 0
MAZE03.ato,3431,wp_05,0 27 12 0 0 0 48 32
MAZE03.ato,3463,SE002043,53 0 0 0 0 0 0
MAZE03.ato,3509,6.D,0 0
MAZE03.ato,3545,6.D,0
MAZE03.ato,3632,SB014045,0 0 0 27 12 0 0 0
MAZE03.ato,3809,wp_05,0 27 12 0 0 0 48 32
MAZE03.ato,3841,SE001043,53 0 0 0 0 0 0
MAZE03.ato,4018,wp_05,0 27 12 0 0 0 48 32
MAZE03.ato,4050,SE001043,53 0 0 0 0 0 0
MAZE03.ato,4227,wp_05,0 27 12 0 0 0 48 32
MAZE03.ato,4259,SE002043,53 0 0 0 0 0 0
MAZE03.ato,4436,wp_05,0 27 12 0 0 0 48 32
MAZE03.ato,4468,SE002043,53 0 0 0 0 0 0
MAZE03.ato,4645,wp_05,0 27 12 0 0 0 48 32
MAZE03.ato,4677,SE002043,53 0 0 0 0 0 0
MAZE03.ato,4818,CAMERA,0 0 0 0 0 0 0 0
MAZE03.ato,4879,Sx6C,2 0 0 0 0
MAZE03.ato,4915,Sx6C,3 22 48 0 0
MAZE03.ato,4987,SM001008,0 1 0 27 12 0 0 0
MAZE03.ato,5156,SM004006,0 0 0 27 12 0 0 0
MAZE03.ato,5325,SB014045,0 0 0 27 12 0 0 0
MAZE03.ato,5502,wp_00,0 27 12 0 0 0 48 32
MAZE03.ato,5534,SE001043,48 0 0 0 0 0 0
MAZE03.ato,5711,wp_00,0 27 12 0 0 0 48 32
MAZE03.ato,5743,SE002043,48 0 0 0 0 0 0
MAZE03.ato,5920,wp_00,0 27 12 0 0 0 48 32
MAZE03.ato,5952,SE002043,48 0 0 0 0 0 0
MAZE03.ato,6129,wp_00,0 27 12 0 0 0 48 32
MAZE03.ato,6161,SE002043,48 0 0 0 0 0 0
MAZE03.ato,6338,wp_00,0 27 12 0 0 0 48 32
MAZE03.ato,6370,SE001043,48 0 0 0 0 0 0
MAZE03.ato,6547,wp_00,0 27 12 0 0 0 48 32
MAZE03.ato,6579,SE001043,48 0 0 0 0 0 0
MAZE03.ato,6640,IaeC,2 0 0 0 0
MAZE03.ato,6676,IaeC,4 22 48 0 0
MAZE03.ato,6756,wp_00,0 27 12 0 0 0 48 32
MAZE03.ato,6788,SE001043,48 0 0 0 0 0 0
MAZE03.ato,6929,CAMERA,0 0 0 0 0 0 0
MAZE03.ato,7002,play,0 0 0 0 0 0 0 7
MAZE03.ato,7154,SE001B,4 0 28 16 8
MAZE03.ato,7182,SE001A,8 0 28 16 7
MAZE03.ato,7210,SE002A,7 0 28 16 9
MAZE03.ato,7238,SM001043,9 0 28 16 5
MAZE03.ato,7266,SM004043,5 0 28 16 6
MAZE03.ato,7326,SLASH008,331 25 4 1 439 24 32 0
MAZE03.ato,7386,SLASH008,444 25 4 0 445 24 32 0
MAZE03.ato,7430,SLASH008,0 0 0 0 487 24 32 0
MAZE03.ato,7642,SM004044,10 0 28 16 12
MAZE03.ato,7670,SE001D,12 0 28 16 15
MAZE03.ato,7698,SE001C,15 0 28 16 13
MAZE03.ato,7726,SE002B,13 0 28 16 14
MAZE03.ato,7754,SM001044,14 0 28 16 11
MAZE03.ato,7966,SB014045,26 0 28 16 20
MAZE03.ato,7994,SE002F,20 0 28 16 24
MAZE03.ato,8022,SE001E,24 0 28 16 18
MAZE03.ato,8050,SE001F,18 0 28 16 21
MAZE03.ato,8078,SE001G,21 0 28 16 22
MAZE03.ato,8106,SM001045,22 0 28 16 16
MAZE03.ato,8134,SM004045,16 0 28 16 17
MAZE03.ato,8162,SE002E,17 0 28 16 19
MAZE03.ato,8190,SE002D,19 0 28 16 23
MAZE03.ato,8218,SE002C,23 0 28 16 25
MAZE03.ato,8370,SE001I,0 25 4 0 0 28 16 36
MAZE03.ato,8398,SE001J,36 0 28 16 35
MAZE03.ato,8426,SE001K,35 0 28 16 34
MAZE03.ato,8454,SE002I,34 0 28 16 33
MAZE03.ato,8482,SE002H,33 0 28 16 32
MAZE03.ato,8510,SM004046,32 0 28 16 28
MAZE03.ato,8538,SE002G,28 0 28 16 31
MAZE03.ato,8566,SE001H,31 0 28 16 30
MAZE03.ato,8594,SM001046,30 0 28 16 27
MAZE03.ato,8622,SB014046,27 0 28 16 29
MAZE03.ato,8678,FX34,37 59 24 32 0
MAZE03.ato,8722,FALL01,0 0 0 0 69 24 32 0
MAZE03.ato,8766,FALL02,0 0 0 0 70 24 32 0
MAZE03.ato,8810,FALL02,0 0 0 0 71 24 32 0
MAZE03.ato,8854,SLASH004,0 0 0 0 727 24 32 0
MAZE03.ato,8898,STEP06,0 0 0 0 730 24 32 0
MAZE03.ato,8942,VOCAL13,0 0 0 0 788 24 32 0
MAZE03.ato,8986,STEP04,0 0 0 0 791 24 32 0
MAZE03.ato,9014,camera,0 0 0 0 0 0
MAZE03.ato,10254,SE002043,0 0 0 0 0 0 0
MAZE03.ato,10270,SE002A,0 0 0 0 9
MAZE03.ato,10299,s-D,0
MAZE03.ato,11258,SE002B,0 0 0 0 0 0 0
MAZE03.ato,11303,WNC,0 0
MAZE03.ato,11806,SE002C,0 0 0 0 0 0 0
MAZE03.ato,11970,SE002D,0 0 0 0 0 0 0 0
MAZE03.ato,12134,SE002E,0 0 0 0 0 0 0 0
MAZE03.ato,12298,SE002F,0 0 21 16 33 0 1 0
MAZE03.ato,12462,SE002G,0 0 0 0 0 0 0 0
MAZE03.ato,12742,SE002H,0 86 21 16 57 0 1 0
MAZE03.ato,12962,SE002I,0 86 21 16 57 0 1 0
MAZE03.ato,13182,SE001043,0 87 21 16 57 0 1 0
MAZE03.ato,13198,SE001A,57 0 1 0 11
MAZE03.ato,13552,oBP,0 0 0 0
MAZE03.ato,13612,oBP,0 0 0 0
MAZE03.ato,13686,SE001B,0 440 21 16 33 0 1 0
MAZE03.ato,13715,-0D,0
MAZE03.ato,14114,SE001C,0 488 21 16 33 0 1 0
MAZE03.ato,14158,4sUC,2000 52 0 0 0
MAZE03.ato,14486,SE001D,0 0 0 0 0 0 0
MAZE03.ato,14512,CD.,0 0
MAZE03.ato,14531,ERC,0 0
MAZE03.ato,14858,SE001E,0 0 0 0 0 0 0
MAZE03.ato,15022,SE001F,0 0 0 0 0 0 0 0
MAZE03.ato,15186,SE001G,0 0 0 0 0 0 0 0
MAZE03.ato,15350,SE001H,0 0 0 0 0 0 0 0
MAZE03.ato,15570,SE001I,0 77 21 16 57 0 1 0
MAZE03.ato,15614,IaeC,1500 52 0 0 0
MAZE03.ato,15790,SE001J,0 80 21 16 57 0 1 0
MAZE03.ato,16010,SE001K,0 81 21 16 57 0 1 0
MAZE03.ato,16230,SM004006,0 83 21 16 57 0 1 0
MAZE03.ato,16246,SM004043,57 0 1 0 4
MAZE03.ato,17910,SM004044,0 0 0 0 0 0 0
MAZE03.ato,18283,30C,0 0 0
MAZE03.ato,18371,30C,0 0 0
MAZE03.ato,18459,30C,0 0 0
MAZE03.ato,18666,SM004045,0 0 0 0 0 0 0
MAZE03.ato,19154,SM004046,0 0 0 0 0 0 0
MAZE03.ato,19318,SM001008,0 0 0 0 0 0 0 0
MAZE03.ato,19334,SM001043,0 0 0 0 4
MAZE03.ato,20354,SM001044,0 0 0 0 0 0 0
MAZE03.ato,20962,SM001045,0 0 0 0 0 0 0
MAZE03.ato,21718,SM001046,0 0 0 0 0 0 0
MAZE03.ato,21762,Sx6C,1500 52 0 0 0
MAZE03.ato,22058,SB014045,0 827 21 16 49 0 1 0
MAZE03.ato,22074,SB014045,49 0 1 0 2
MAZE03.ato,22103,6.D,0
MAZE03.ato,22238,SB014046,0 0 0 0 0 0 0 0
MAZE05.ato,40,13WA,0 23 0 0 0
MAZE05.ato,156,WATER08,0 10 1 24 32 0
MAZE05.ato,164,.WAV,10 1 24 32 0
MAZE05.ato,184,LOCATE,0 0 0 0 0
MAZE05.ato,389,SM001067,1 0 0 0 0 0 0 0
MAZE05.ato,598,SB014067,1 0 0 0 0 0 0 0
MAZE05.ato,739,CAMERA,0 0 0 0 0 0 0
MAZE05.ato,816,321,0 0 0 3 23 24
MAZE05.ato,864,MUSIC02,0 0 25 4 0 24 32 0
MAZE05.ato,892,LOCATE,0 0 0 0 0 0
MAZE05.ato,1029,CAMERA,0 0 0 0 0 0 0
MAZE05.ato,1242,SM003321,0 0 0 0 0 1 3 1
MAZE05.ato,1322,C82,189 0 1090 5632
MAZE05.ato,1455,SM005321,0 0 0 0 0 1 3 1
MAZE05.ato,1632,wp_00,0 27 12 0 0 0 48 32
MAZE05.ato,1704,SB013321,0 0 0 0 0 0 0 0
MAZE05.ato,1881,wp_00,1 27 12 0 0 0 48 32
MAZE05.ato,1953,SB014321,0 0 0 0 0 0 0 0
MAZE05.ato,2130,wp_00,0 27 12 0 0 0 48 32
MAZE05.ato,2202,SE001321,1 0 0 0 0 0 0 0
MAZE05.ato,2244,BlA5,0 0 0
MAZE05.ato,2280,BlA5,0
MAZE05.ato,2379,wp_00,0 27 12 0 0 0 48 32
MAZE05.ato,2396,p_00,0 0 0 0
MAZE05.ato,2451,SE002321,1 0 0 0 0 0 0 0
MAZE05.ato,2504,333,4 28
MAZE05.ato,2524,play,0 10
MAZE05.ato,2648,SB014067,0 25 4 1 0 28 16 2
MAZE05.ato,2676,SM001067,2 0 28 16 1
MAZE05.ato,2704,CAM067,1 0 28 16 3
MAZE05.ato,2732,WIND06,3 0 24 32 0
MAZE05.ato,2776,STEP01,0 0 0 0 83 24 32 0
MAZE05.ato,2820,STEP03,0 0 0 0 94 24 32 0
MAZE05.ato,2864,STEP01,0 0 0 0 108 24 32 0
MAZE05.ato,2908,STEP03,0 0 0 0 119 24 32 0
MAZE05.ato,2952,STEP01,0 0 0 0 133 24 32 0
MAZE05.ato,2996,STEP03,0 0 0 0 144 24 32 0
MAZE05.ato,3040,STEP01,0 0 0 0 158 24 32 0
MAZE05.ato,3084,STEP03,0 0 0 0 169 24 32 0
MAZE05.ato,3128,STEP01,0 0 0 0 183 24 32 0
MAZE05.ato,3172,VOCAL20,0 0 0 0 190 24 32 0
MAZE05.ato,3216,WIND06,0 0 0 0 202 24 32 0
MAZE05.ato,3260,VOCAL20,0 0 0 0 268 24 32 0
MAZE05.ato,3320,VOCAL18,405 25 4 0 405 24 32 0
MAZE05.ato,3380,VOCAL19,457 25 4 1 476 24 32 0
MAZE05.ato,3424,SLASH007,0 0 0 0 477 24 32 0
MAZE05.ato,3468,STEP05,0 0 0 0 499 24 32 0
MAZE05.ato,3512,STEP06,0 0 0 0 500 24 32 0
MAZE05.ato,3588,VOCAL01,552 25 4 1 635 24 32 0
MAZE05.ato,3596,.WAV,4 1 635 24 32 0
MAZE05.ato,3632,SLASH004,0 0 0 0 638 24 32 0
MAZE05.ato,3676,SLASH001,0 0 0 0 642 24 32 0
MAZE05.ato,3848,WATER08,752 25 4 0 752 24 32 0
MAZE05.ato,3856,.WAV,4 0 752 24 32 0
MAZE05.ato,3892,ANIMAL11.WAV,0 0 0 0 978 24 32 0
MAZE05.ato,3936,ANIMAL11.WAV,0 0 0 0 1208 24 32 0
MAZE05.ato,3980,ANIMAL11.WAV,0 0 0 0 1437 24 32 0
MAZE05.ato,4008,321,0 0 0 0 0
MAZE05.ato,4100,CAM321,0 0 0 23 0 28 16 5
MAZE05.ato,4128,SM003321,5 0 28 16 6
MAZE05.ato,4156,SM005321,6 0 28 16 7
MAZE05.ato,4184,SB014321,7 0 28 16 9
MAZE05.ato,4212,SE001321,9 0 28 16 10
MAZE05.ato,4240,SE002321,10 0 28 16 11
MAZE05.ato,4268,SB013321,11 0 28 16 8
MAZE05.ato,4328,WIND06,1 25 4 1 1 24 32 0
MAZE05.ato,4388,WIND01,118 25 4 0 118 24 32 0
MAZE05.ato,4432,MUSIC02,0 0 0 0 129 24 32 0
MAZE05.ato,4492,STEP04,157 25 4 1 166 24 32 0
MAZE05.ato,4536,STEP03,0 0 0 0 180 24 32 0
MAZE05.ato,4580,FX48.WAV,0 0 0 0 192 24 32 0
MAZE05.ato,4624,J-FX10,0 0 0 0 265 24 32 0
MAZE05.ato,4668,J-FX03A,0 0 0 0 290 24 32 0
MAZE05.ato,4712,SLASH007,0 0 0 0 314 24 32 0
MAZE05.ato,4756,WING02,0 0 0 0 342 24 32 0
MAZE05.ato,4800,STEP06,0 0 0 0 360 24 32 0
MAZE05.ato,4844,SM001067,0 0 0 0 374 25 4 0
MAZE05.ato,4860,SM001067,374 25 4 0 1
MAZE05.ato,6116,SB014067,0 651 21 16 197 0 1 0
MAZE05.ato,6132,SB014067,197 0 1 0 1
MAZE05.ato,6916,camera,0 697 21 16 0 0 0 0
MAZE05.ato,6932,CAM067,0 0 0 0 2
MAZE05.ato,7309,R6B4,0
MAZE05.ato,8509,ajA,0 0
MAZE05.ato,8548,CAM321,0 0 0 0 0 0 0
MAZE05.ato,8572,lgq,0 0 3390 52 0
MAZE05.ato,8787,AP3,0 0 5632
MAZE05.ato,8847,AP3,0 0 5632
MAZE05.ato,8907,AP3,0 0 5632
MAZE05.ato,9238,pApDuB,0
MAZE05.ato,10297,_qCH,0
MAZE05.ato,10307,Bpp,66 5632
MAZE05.ato,10359,C43jC,0 0 0 0 5632
MAZE05.ato,10367,Bpp,0 0 5632
MAZE05.ato,10427,Bpp,0 0 5632
MAZE05.ato,10487,Bpp,0 0 5632
MAZE05.ato,10599,CR-fC,0 0 0 0 5632
MAZE05.ato,10906,0BZ,0 0
MAZE05.ato,10966,0BZ,0 0
MAZE05.ato,11079,D5i,0 0 0 0 5632
MAZE05.ato,11139,DAv,0 0 0 0 5632
MAZE05.ato,11439,Dlo,0 0 0 0 5632
MAZE05.ato,11499,Dlo,0 0 0 0 5632
MAZE05.ato,11859,D0V,0 0 0 0 5632
MAZE05.ato,12264,SM003321,0 0 0 0 0 0 0
MAZE05.ato,12280,SM003321,0 0 0 0 1
MAZE05.ato,12755,BPl,1792 0 0 0 5632
MAZE05.ato,12817,HHC,0 0 0
MAZE05.ato,12877,HHC,0 0 0
MAZE05.ato,13331,CCvSC,256 768 256 5632
MAZE05.ato,13510,VCk,0 0 0
MAZE05.ato,13992,SM005321,0 3124 21 16 39 0 0 0
MAZE05.ato,14008,SM005321,39 0 0 0 1
MAZE05.ato,14583,AdvSC,256 768 256 5632
MAZE05.ato,14759,CTN,0 0 0 0 5632
MAZE05.ato,14819,CTN,0 0 0 0 5632
MAZE05.ato,15171,C82,0 0 0 0 5632
MAZE05.ato,15244,SB013321,0 3124 21 16 0 0 0 0
MAZE05.ato,15260,SB013321,0 0 0 0 1
MAZE05.ato,16076,SB014321,0 3124 21 16 38 0 0 0
MAZE05.ato,16092,SB014321,38 0 0 0 1
MAZE05.ato,16936,SE001321,0 3132 21 16 38 0 0 1
MAZE05.ato,16952,SE001321,38 0 0 1 1
MAZE05.ato,17368,SE002321,0 0 0 0 0 0 0 0
MAZE05.ato,17384,SE002321,0 0 0 0 1
MAZE09.ato,21,LmC,47 9 2 0 0
MAZE09.ato,168,SM002166,0 0 0 27 12 0 0 0
MAZE09.ato,212,Cxq,0 256 768 2304 512 0 0
MAZE09.ato,397,SB008166,0 0 0 0 0 0 0 0
MAZE09.ato,626,SB007166,0 0 0 0 0 0 0 0
MAZE09.ato,703,166,0 0 4 23 24
MAZE09.ato,803,NOISE02,0 30 0 24 32 0
MAZE09.ato,831,LOCATE,0 0 0 0 0 0
MAZE09.ato,904,165,0 4 23 24
MAZE09.ato,1004,SLASH035,10 0 24 32 0
MAZE09.ato,1032,LOCATE,0 0 0 0 0 0
MAZE09.ato,1237,SM002165,0 0 0 27 12 0 0 0
MAZE09.ato,1446,SB008165,1 0 0 0 0 0 0 0
MAZE09.ato,1487,tfGC,0 0 1 4 9 2 0 0
MAZE09.ato,1655,SB022165,0 0 0 0 0 0 0 0
MAZE09.ato,1864,SB040165,0 0 0 0 0 0 0 0
MAZE09.ato,1926,piB,0 0 0
MAZE09.ato,2073,SB041165,0 0 0 0 0 0 0 0
MAZE09.ato,2117,C_H,0 256 1024 2304 512 0 0
MAZE09.ato,2282,SB007165,0 0 0 0 0 0 0 0
MAZE09.ato,2423,CAMERA,0 0 0 0 0 0 0
MAZE09.ato,2479,Aza,1024 1024 0 3328 0
MAZE09.ato,2568,CAMERA,0 0 0 0 0 0 0
MAZE09.ato,2773,OMA00112,1 0 0 0 0 0 0 0
MAZE09.ato,2850,161,0 3 23 24
MAZE09.ato,2938,LOCATE,1 330 1 0 50 0
MAZE09.ato,3087,NOISE01,0 0 0 0 0 24 32 0
MAZE09.ato,3115,CAMERA,0 0 0 0 0 0
MAZE09.ato,3284,SB008161,0 0 0 27 12 0 0 0
MAZE09.ato,3453,SM002161,0 0 0 27 12 0 0 0
MAZE09.ato,3530,162,0 0 0 4 23 24
MAZE09.ato,3630,NOISE11.WAV,0 20 0 24 32 0
MAZE09.ato,3658,LOCATE,0 0 0 0 0
MAZE09.ato,3704,7FB,0 0 0
MAZE09.ato,3807,BURN04,0 0 0 0 0 24 32 0
MAZE09.ato,3835,CAMERA,0 0 0 0 0 0
MAZE09.ato,4004,SM002162,0 0 0 27 12 0 0 0
MAZE09.ato,4173,SB008162,0 1 0 27 12 0 0 1
MAZE09.ato,4215,X-C,0 0 0 0
MAZE09.ato,4251,X-C,0
MAZE09.ato,4378,POT000,0 0 0 6 12
MAZE09.ato,4611,FIRE01,1 0 0 0 0 0 0 0
MAZE09.ato,4844,JOE017,1 0 0 0 0 0 0 0
MAZE09.ato,5097,JOE017,1 0 0 0 0 0 0 0
MAZE09.ato,5174,163,0 0 3 23 24
MAZE09.ato,5222,STEP06,0 0 25 4 0 24 32 0
MAZE09.ato,5250,LOCATE,0 0 0 0 0 0
MAZE09.ato,5387,CAMERA,0 0 0 0 0 0 0
MAZE09.ato,5428,SPdC,0 0 1 26 9 2 0 0
MAZE09.ato,5464,SPdC,0 0 3 22 48
MAZE09.ato,5556,SB008163,0 0 0 27 12 0 0 0
MAZE09.ato,5725,SM002163,0 0 0 27 12 0 0 0
MAZE09.ato,5894,SB022163,0 0 0 27 12 0 0 1
MAZE09.ato,6063,SB040163,0 0 0 27 12 0 0 1
MAZE09.ato,6142,SCw,0
MAZE09.ato,6232,SB041163,0 0 0 27 12 0 0 1
MAZE09.ato,6309,167,0 0 0 2 23 24
MAZE09.ato,6345,LOCATE,0 0 0 0 0 25 4 0
MAZE09.ato,6494,WIND01,0 0 0 0 0 24 32 0
MAZE09.ato,6522,CAMERA,0 0 0 0 0 0
MAZE09.ato,6700,008obj,0 0 0 0
MAZE09.ato,6715,b008obj,0 0 48 32 0 0
MAZE09.ato,6747,SM002167,0 1 49 8 1 0
MAZE09.ato,6844,YaNC,3 22 48 0 0
MAZE09.ato,6916,SB022167,0 0 0 27 12 0 0 1
MAZE09.ato,7085,SB040167,0 0 0 27 12 0 0 0
MAZE09.ato,7129,DvV,0 256 8448 2304 512 0 0
MAZE09.ato,7165,DvV,61 0 835 5632
MAZE09.ato,7254,SB041167,0 0 0 27 12 0 0 0
MAZE09.ato,7439,B008OBJ,0 0 0 0 0 0 0 0
MAZE09.ato,7516,164,0 0 0 4 23 24
MAZE09.ato,7616,SLASH038,0 20 0 24 32 0
MAZE09.ato,7644,LOCATE,0 0 0 0 0 0
MAZE09.ato,7781,CAMERA,0 0 0 0 0 0 0
MAZE09.ato,7950,SM002164,0 0 0 27 12 0 0 0
MAZE09.ato,8119,SB008164,0 1 0 27 12 0 0 0
MAZE09.ato,8288,SB022164,0 0 0 27 12 0 0 1
MAZE09.ato,8457,SB040164,0 0 0 27 12 0 0 1
MAZE09.ato,8626,SB041164,0 0 0 27 12 0 0 1
MAZE09.ato,8699,play,0 0 0 0 0 0 0 34
MAZE09.ato,8715,166,0 0 0 34 7
MAZE09.ato,8823,SM002166,0 25 4 0 0 28 16 0
MAZE09.ato,8851,SB007166,0 0 28 16 2
MAZE09.ato,8879,SB008166,2 0 28 16 1
MAZE09.ato,8907,CAM166,1 0 28 16 12
MAZE09.ato,8935,OMA166,12 0 28 16 13
MAZE09.ato,9067,NOISE06,2228 25 4 1 2228 24 32 0
MAZE09.ato,9111,SLASH035,0 0 0 0 2238 24 32 0
MAZE09.ato,9155,NOISE06,0 0 0 0 2257 24 32 0
MAZE09.ato,9199,NOISE01,0 0 0 0 2280 24 32 0
MAZE09.ato,9363,WIND06,0 30 0 4110 24 32 0
MAZE09.ato,9423,STEP03,4226 25 4 0 4689 24 32 0
MAZE09.ato,9467,NOISE02,0 0 0 0 4723 24 32 0
MAZE09.ato,9511,NOISE02,0 0 0 0 4744 24 32 0
MAZE09.ato,9555,NOISE02,0 0 0 0 4765 24 32 0
MAZE09.ato,9599,NOISE02,0 0 0 0 4785 24 32 0
MAZE09.ato,9627,165,0 0 0 0 0 0
MAZE09.ato,9719,SM002165,0 0 0 50 0 28 16 5
MAZE09.ato,9747,SB022165,5 0 28 16 7
MAZE09.ato,9775,SB008165,7 0 28 16 6
